epoch,loss,pr_auc,precision,recall,val_loss,val_pr_auc,val_precision,val_recall
14,0.06672746688127518,0.9920317530632019,0.9793081283569336,0.9629629850387573,0.05587032809853554,0.989568293094635,0.9632353186607361,0.9502590894699097
15,0.06621415168046951,0.99219810962677,0.9793148040771484,0.9632808566093445,0.05535983666777611,0.9895950555801392,0.9632353186607361,0.9502590894699097
16,0.06575790792703629,0.9921144247055054,0.9794731140136719,0.9632808566093445,0.05498432740569115,0.9896040558815002,0.9642481803894043,0.9502590894699097
17,0.06531509011983871,0.9921838045120239,0.9799482822418213,0.9632808566093445,0.05452318489551544,0.98954176902771,0.9642481803894043,0.9502590894699097
18,0.06487026810646057,0.9922295212745667,0.9799450039863586,0.9631218910217285,0.05425988882780075,0.9896023273468018,0.9642481803894043,0.9502590894699097
19,0.0644252598285675,0.9923949837684631,0.9802652597427368,0.9632808566093445,0.05386495962738991,0.9897204637527466,0.9642481803894043,0.9502590894699097
20,0.06405849009752274,0.9924666881561279,0.9804238677024841,0.9632808566093445,0.0534977912902832,0.9895533323287964,0.9662802815437317,0.9502590894699097
21,0.06373351067304611,0.9925830364227295,0.981217622756958,0.9632808566093445,0.053268637508153915,0.9898295998573303,0.9683210253715515,0.9502590894699097
22,0.06342386454343796,0.9927183389663696,0.981379508972168,0.9634398221969604,0.05305152013897896,0.9897948503494263,0.9683210253715515,0.9502590894699097
23,0.06312309205532074,0.9927476048469543,0.9820155501365662,0.9634398221969604,0.05277612432837486,0.9904351234436035,0.9693446159362793,0.9502590894699097
24,0.06284255534410477,0.9927278161048889,0.9826524257659912,0.9634398221969604,0.05249859765172005,0.9904876351356506,0.970370352268219,0.9502590894699097
25,0.062593974173069,0.9927676916122437,0.9832900762557983,0.9634398221969604,0.05225483328104019,0.9905005693435669,0.9724284410476685,0.9502590894699097
26,0.06234694644808769,0.9927983283996582,0.983452320098877,0.9635987877845764,0.052052706480026245,0.9903262853622437,0.9755319356918335,0.9502590894699097
27,0.06212319806218147,0.9928281903266907,0.984248161315918,0.9634398221969604,0.051778100430965424,0.9903587102890015,0.9786552786827087,0.9502590894699097
28,0.06192765012383461,0.9928383827209473,0.9850479364395142,0.9634398221969604,0.05152859538793564,0.9903939366340637,0.9797008633613586,0.9502590894699097
29,0.06174515187740326,0.992853581905365,0.9858490824699402,0.9634398221969604,0.05137677490711212,0.9904270172119141,0.9817987084388733,0.9502590894699097
30,0.061573274433612823,0.9928587079048157,0.9864909052848816,0.9634398221969604,0.05120696499943733,0.9904557466506958,0.983905553817749,0.9502590894699097
31,0.06140972301363945,0.9928452372550964,0.9871335625648499,0.9634398221969604,0.05115681514143944,0.9904657602310181,0.9849624037742615,0.9502590894699097
32,0.061267346143722534,0.9928784370422363,0.9877750873565674,0.9632808566093445,0.05104492977261543,0.9906031489372253,0.9860215187072754,0.9502590894699097
33,0.06113982945680618,0.99286949634552,0.9877750873565674,0.9632808566093445,0.05089162662625313,0.9906770586967468,0.9860215187072754,0.9502590894699097
34,0.061017025262117386,0.9929376244544983,0.9880990982055664,0.9634398221969604,0.05078061670064926,0.9906158447265625,0.9860215187072754,0.9502590894699097
35,0.06091456487774849,0.9929675459861755,0.9880990982055664,0.9634398221969604,0.05068730562925339,0.9907419085502625,0.9860215187072754,0.9502590894699097
36,0.060812827199697495,0.9930034875869751,0.9882621169090271,0.9635987877845764,0.050579749047756195,0.9909484386444092,0.9860215187072754,0.9502590894699097
37,0.06072211638092995,0.9930064678192139,0.9884232878684998,0.9635987877845764,0.05055483803153038,0.9909699559211731,0.9870828986167908,0.9502590894699097
38,0.06063232570886612,0.9929914474487305,0.9885826110839844,0.9634398221969604,0.05051327124238014,0.9911597967147827,0.9870828986167908,0.9502590894699097
39,0.060558002442121506,0.9930572509765625,0.9884213805198669,0.9634398221969604,0.05051616206765175,0.991080641746521,0.9870828986167908,0.9502590894699097
40,0.06048474460840225,0.9930712580680847,0.9884213805198669,0.9634398221969604,0.050448060035705566,0.991352915763855,0.9870828986167908,0.9502590894699097
41,0.06041305139660835,0.9930503964424133,0.9885826110839844,0.9634398221969604,0.05036446824669838,0.9914293885231018,0.9870828986167908,0.9502590894699097
